               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071626,             0.04305,            0.028511,             0.40959,             0.23366,             0.14674,            0.056399,            0.052064,            0.026122,            0.016259,             0.07008,           0.0033244,           0.0033244
                   1,            0.056254,            0.035534,            0.014493,             0.47644,             0.31973,             0.23527,             0.10207,            0.049305,            0.024681,            0.011949,            0.039421,           0.0059987,           0.0059987
                   2,            0.052001,            0.034438,            0.012395,              0.6251,             0.28643,             0.30421,             0.13336,            0.042967,            0.024414,            0.010021,           0.0081018,           0.0080129,           0.0080129
                   3,             0.04777,            0.034469,             0.01024,             0.61506,             0.38432,             0.34942,             0.16091,            0.041334,            0.024268,           0.0084082,             0.00703,             0.00703,             0.00703
                   4,            0.045561,            0.034087,           0.0091655,             0.63516,             0.41157,             0.39027,             0.18224,            0.039651,            0.023713,           0.0072522,             0.00703,             0.00703,             0.00703
                   5,            0.043114,            0.033081,           0.0081793,             0.69211,             0.42349,             0.42937,             0.20543,            0.038654,            0.023243,           0.0066861,             0.00604,             0.00604,             0.00604
                   6,            0.041588,            0.032725,           0.0073658,              0.7822,             0.42906,             0.47048,             0.22943,            0.037751,            0.023012,            0.005436,             0.00505,             0.00505,             0.00505
                   7,            0.040201,            0.032146,           0.0066063,             0.80416,             0.44611,             0.48453,             0.23607,              0.0378,            0.022766,           0.0048579,             0.00406,             0.00406,             0.00406
                   8,            0.039445,            0.031737,           0.0061007,             0.82779,              0.4647,             0.51408,             0.25586,            0.036565,            0.022379,           0.0042856,             0.00307,             0.00307,             0.00307
                   9,            0.038712,            0.031183,            0.005698,             0.83568,              0.4812,             0.53155,             0.26408,            0.036219,            0.022052,           0.0038208,             0.00208,             0.00208,             0.00208
