ID,image_id,category_id,bbox,score
1,17474,2,"[214.027, 249.02, 14.185, 17.128]",0.72662
2,17474,2,"[458.276, 210.514, 52.115, 48.042]",0.7040700000000001
3,17474,2,"[180.849, 247.395, 15.383, 18.345]",0.6938200000000001
4,17474,2,"[399.503, 211.334, 64.904, 50.787]",0.5747300000000001
5,25196,3,"[428.983, 232.307, 20.532, 83.469]",0.82325
6,25196,3,"[360.412, 234.553, 12.532, 61.161]",0.8217
7,25196,2,"[198.011, 263.835, 9.421, 12.253]",0.45079
8,1780,2,"[185.995, 266.406, 10.357, 15.466]",0.56449
9,13333,2,"[181.472, 265.591, 10.791, 15.005]",0.67025
10,25135,2,"[174.821, 268.593, 11.213, 14.559]",0.6291300000000001
11,25135,3,"[290.905, 265.68, 8.227, 27.519]",0.41343
12,27336,2,"[78.242, 244.415, 52.207, 56.658]",0.9038900000000001
13,27336,2,"[151.804, 251.715, 24.452, 27.753]",0.8502200000000001
14,26802,3,"[471.567, 204.832, 20.514, 100.967]",0.80173
15,26802,3,"[445.879, 201.372, 21.066, 107.107]",0.6437400000000001
16,26802,3,"[436.796, 204.24, 16.806, 101.421]",0.49325
17,28724,2,"[0.41100000000000003, 255.501, 51.56, 76.521]",0.88885
18,28724,2,"[134.02, 248.091, 28.982, 31.726]",0.87599
19,28724,1,"[69.447, 248.097, 18.95, 42.522]",0.7104800000000001
20,29522,2,"[209.719, 272.39, 18.667, 22.989]",0.8063800000000001
21,29522,2,"[177.967, 275.283, 20.33, 19.861]",0.75416
22,29522,5,"[253.414, 239.13, 6.195, 17.416]",0.59387
23,29522,5,"[230.028, 243.5, 5.971, 14.754]",0.47339000000000003
24,29522,3,"[270.892, 246.833, 12.242, 56.663]",0.34291000000000005
25,12475,2,"[207.601, 274.869, 21.555, 24.872]",0.8130600000000001
26,12475,2,"[164.597, 275.928, 22.949, 22.036]",0.7641800000000001
27,12475,5,"[257.814, 236.377, 6.535, 19.794]",0.6486900000000001
28,12475,1,"[284.584, 244.714, 16.857, 72.477]",0.64631
29,12475,5,"[232.195, 241.953, 5.943, 15.969]",0.5234300000000001
30,12475,1,"[157.347, 272.685, 8.279, 22.861]",0.23545000000000002
31,17768,2,"[139.779, 249.69, 43.978, 39.771]",0.90663
32,17768,2,"[9.683, 246.713, 56.302, 32.489]",0.8695600000000001
33,17768,1,"[200.569, 241.543, 18.531, 27.265]",0.63924
34,17768,5,"[230.724, 193.81, 8.247, 24.11]",0.61468
35,17768,5,"[301.656, 154.588, 12.907, 42.427]",0.5801700000000001
36,17768,5,"[187.291, 155.583, 7.699, 22.145]",0.5452800000000001
37,26485,2,"[96.624, 239.623, 53.115, 41.036]",0.9028600000000001
